id;entite;nom;prenom;telephone;c_in
1;back-end;Analyste Producteur;du card de;0704462008;Borders synthesizing Steel
2;Coordinateur;invoice Picardie;Re-engineered;0270460695;deposit CFP
3;application up;hybrid viral Hat;Sleek world-class;+33 259412391;zero Ball
4;Pants c;Outdoors SCSI;b;+33 671965028;Vanuatu
5;Avon core;Franche-Comté;metrics Kwacha b;+33 591323721;Ergonomic Ergonomic
6;e-services b;collaborative Sleek haptic;Table Lorraine sensor;0484731765;blue
7;b;a;b;+33 578628272;c b
8;Tuna turn-key;Provence-Alpes-Côte Computer;radical interface;+33 242479495;Account
9;Bedfordshire world-class;Checking;Savings;+33 752569198;de copying France
10;Sausages customized;e-business;bypassing Pants;+33 386225384;Personal capacitor Investment
