id;email;username;password;active;nom;prenom;telephone
1;Amiel13@hotmail.fr;yellow Gorgeous Berkshire;Pants Account monetize;false;Persevering Grocery;Keyboard;0230829235
2;Cme_Brun54@hotmail.fr;cyan Shoes;Shilling calculating;false;strategic calculate a;Oberkampf withdrawal;0303350785
3;Agathe.Legall74@yahoo.fr;Shoes Suisse;Sharable PCI;true;c bandwidth Incredible;quantifying Languedoc-Roussillon;+33 121956928
4;Gerberge.Leroux@gmail.com;collaborative utilize sticky;framework Loan synthesizing;true;Automotive Assistant c;deposit;0620241252
5;Nathanal58@gmail.com;Île-de-France;Account SQL Bourgogne;true;Practical Books Berkshire;Ball JSON;0411063787
6;Romane_Philippe@gmail.com;haptic bricks-and-clicks Implemented;Credit Aquitaine holistic;false;Movies;la Corse Shirt;0467550850
7;Pierre.Guillot@hotmail.fr;functionalities;b;true;Developpeur Autriche;magnetic Steel yellow;0503308889
8;Vianney.Lucas34@yahoo.fr;b bottom-line;a Small;false;b;magenta;+33 423506858
9;Isabeau.Giraud32@gmail.com;blue b;intermediate calculating tan;false;invoice Bourgogne a;Loire cyan;0710532658
10;piphane_Leroy73@hotmail.fr;Kiribati back-end;index Garden;true;Coordinateur parse;Games bus Malte;+33 456091214
